backend_name,timestamp,id0,id1,id2,id3,id4,sx0,sx1,sx2,sx3,sx4,x0,x1,x2,x3,x4,cx4_3,cx3_4,cx3_1,cx1_3,cx2_1,cx1_2,cx1_0,cx0_1,T1_q0,T2_q0,frequency_q0,readout_error_q0,prob_meas0_prep1_q0,prob_meas1_prep0_q0,T1_q1,T2_q1,frequency_q1,readout_error_q1,prob_meas0_prep1_q1,prob_meas1_prep0_q1,T1_q2,T2_q2,frequency_q2,readout_error_q2,prob_meas0_prep1_q2,prob_meas1_prep0_q2,T1_q3,T2_q3,frequency_q3,readout_error_q3,prob_meas0_prep1_q3,prob_meas1_prep0_q3,T1_q4,T2_q4,frequency_q4,readout_error_q4,prob_meas0_prep1_q4,prob_meas1_prep0_q4,accuracy,accuracy-diff,accuracy-diff-bad,accuracy-diff-good,accuracy-diff-mid,dynamic_training
ibmq_belem,2021-09-03 00:33:17-04:00,0.000185704,0.000240177,0.00020468,0.00034736,0.000232946,0.000185704,0.000240177,0.00020468,0.00034736,0.000232946,0.000185704,0.000240177,0.00020468,0.00034736,0.000232946,0.009940849,0.009940849,0.007818745,0.007818745,0.005782845,0.005782845,0.016091786,0.016091786,94.41330079,124.4825987,5.090026936,0.0209,0.0308,0.011,87.3246064,128.3047003,5.245497691,0.0193,0.0322,0.0064,82.94984815,61.09640675,5.361412778,0.0188,0.0276,0.01,61.22933855,89.51366745,5.170380607,0.026,0.0456,0.0064,128.1308011,187.4358627,5.258372996,0.0195,0.032,0.007,0.54,0.47,0.495,0.865,0.835,0.865
ibmq_belem,2021-09-04 00:41:21-04:00,0.000298233,0.000258542,0.000250955,0.000241655,0.000229243,0.000298233,0.000258542,0.000250955,0.000241655,0.000229243,0.000298233,0.000258542,0.000250955,0.000241655,0.000229243,0.00907788,0.00907788,0.008666189,0.008666189,0.007981997,0.007981997,0.019451073,0.019451073,100.7591575,111.0915072,5.090026952,0.0202,0.0342,0.0062,102.3071089,123.5651686,5.24549366,0.0252,0.0446,0.0058,99.77993585,62.9735806,5.361417168,0.0204,0.0312,0.0096,91.68241878,147.1563289,5.170382755,0.024,0.0378,0.0102,104.4661275,167.0799236,5.258369217,0.0153,0.0248,0.0058,0.81,0.815,0.74,0.86,0.815,0.86
ibmq_belem,2021-09-05 00:33:58-04:00,0.000230118,0.00026625,0.000229448,0.000258422,0.000214949,0.000230118,0.00026625,0.000229448,0.000258422,0.000214949,0.000230118,0.00026625,0.000229448,0.000258422,0.000214949,0.00847556,0.00847556,0.008189533,0.008189533,0.007114256,0.007114256,0.016372972,0.016372972,80.82646736,142.0791847,5.090027722,0.0177,0.0264,0.009,103.0047205,112.8101187,5.24549777,0.0236,0.0404,0.0068,96.80640864,64.04045788,5.361418285,0.0188,0.0302,0.0074,134.0777092,203.8194646,5.170383482,0.024,0.0446,0.0034,65.34139504,103.5271185,5.258368587,0.0164,0.0252,0.0076,0.835,0.82,0.745,0.86,0.82,0.86
ibmq_belem,2021-09-06 00:41:27-04:00,0.000288207,0.000260491,0.000213992,0.000279009,0.000215132,0.000288207,0.000260491,0.000213992,0.000279009,0.000215132,0.000288207,0.000260491,0.000213992,0.000279009,0.000215132,0.008561106,0.008561106,0.008524278,0.008524278,0.006081623,0.006081623,0.018674614,0.018674614,92.89893838,124.4942473,5.090028519,0.0317,0.0492,0.0142,106.3208684,108.6303186,5.245499813,0.0203,0.034,0.0066,42.09672685,46.59005186,5.361419063,0.0297,0.0466,0.0128,104.666773,134.1824599,5.170386566,0.0243,0.0434,0.0052,110.6589328,163.7382356,5.258371942,0.0196,0.0324,0.0068,0.815,0.81,0.735,0.855,0.815,0.855
ibmq_belem,2021-09-07 00:33:28-04:00,0.000214059,0.000526543,0.000232271,0.000337502,0.000214071,0.000214059,0.000526543,0.000232271,0.000337502,0.000214071,0.000214059,0.000526543,0.000232271,0.000337502,0.000214071,0.009751759,0.009751759,0.009896571,0.009896571,0.008773272,0.008773272,0.018232865,0.018232865,116.036493,122.1927508,5.090023933,0.0219,0.0354,0.0084,72.03082663,75.52344375,5.24549816,0.0524,0.0874,0.0174,88.06443754,36.48322006,5.361426955,0.0215,0.035,0.008,97.46681236,111.4049888,5.170385034,0.0185,0.0318,0.0052,92.16338173,137.5654224,5.258369447,0.021,0.0364,0.0056,0.815,0.815,0.715,0.84,0.81,0.84
ibmq_belem,2021-09-08 00:39:12-04:00,0.000182545,0.000356507,0.000232994,0.000360249,0.000265437,0.000182545,0.000356507,0.000232994,0.000360249,0.000265437,0.000182545,0.000356507,0.000232994,0.000360249,0.000265437,0.011100852,0.011100852,0.007646916,0.007646916,0.007038093,0.007038093,0.021454508,0.021454508,98.76615025,135.9094305,5.090023999,0.0166,0.025,0.0082,65.75875308,90.3757662,5.24549689,0.0244,0.041,0.0078,58.13585477,44.00615846,5.361430633,0.0278,0.0462,0.0094,88.79144099,76.97967329,5.170383335,0.0175,0.0308,0.0042,95.61504869,140.6820771,5.258370502,0.0175,0.0294,0.0056,0.82,0.82,0.755,0.86,0.81,0.86
ibmq_belem,2021-09-09 11:00:50-04:00,0.00018889,0.000856158,0.000229313,0.000273676,0.000253946,0.00018889,0.000856158,0.000229313,0.000273676,0.000253946,0.00018889,0.000856158,0.000229313,0.000273676,0.000253946,0.009399906,0.009399906,0.010247212,0.010247212,0.012660778,0.012660778,0.022431862,0.022431862,72.71178801,134.9688157,5.090023943,0.0186,0.0308,0.0064,81.47541419,101.0802142,5.245504055,0.0245,0.0392,0.0098,92.37406284,48.99465513,5.361429555,0.0254,0.0418,0.009,60.87068942,127.8650473,5.170396954,0.0179,0.03,0.0058,60.41636911,123.9918992,5.258372869,0.0262,0.0314,0.021,0.815,0.785,0.725,0.86,0.805,0.86
ibmq_belem,2021-09-10 00:36:11-04:00,0.000169585,0.000551251,0.000225668,0.00027154,0.000331362,0.000169585,0.000551251,0.000225668,0.00027154,0.000331362,0.000169585,0.000551251,0.000225668,0.00027154,0.000331362,0.011099364,0.011099364,0.01169946,0.01169946,0.008431419,0.008431419,0.028411113,0.028411113,109.9356205,129.7844497,5.090024981,0.0163,0.0242,0.0084,66.54304538,45.70245742,5.245492182,0.058,0.0902,0.0258,88.45798964,55.42124707,5.361427959,0.0207,0.0332,0.0082,60.87068942,127.8650473,5.170385067,0.0177,0.0288,0.0066,78.67770791,82.15523374,5.258373019,0.0331,0.0538,0.0124,0.835,0.805,0.73,0.86,0.79,0.86
ibmq_belem,2021-09-11 00:38:26-04:00,0.000418981,0.000470972,0.000230666,0.00031251,0.000381565,0.000418981,0.000470972,0.000230666,0.00031251,0.000381565,0.000418981,0.000470972,0.000230666,0.00031251,0.000381565,0.012577984,0.012577984,0.012184817,0.012184817,0.009560937,0.009560937,0.025403583,0.025403583,85.37359329,112.0146123,5.09002379,0.0204,0.0332,0.0076,96.92751221,99.39294289,5.245502354,0.0256,0.0408,0.0104,87.66518219,43.59909842,5.361428474,0.0197,0.0282,0.0112,108.1192014,134.1971528,5.170386139,0.0202,0.038,0.0024,95.87589452,132.9180063,5.258375274,0.032,0.0488,0.0152,0.8,0.785,0.705,0.88,0.815,0.88
ibmq_belem,2021-09-12 00:35:10-04:00,0.000346531,0.000415485,0.000305242,0.000521281,0.000306303,0.000346531,0.000415485,0.000305242,0.000521281,0.000306303,0.000346531,0.000415485,0.000305242,0.000521281,0.000306303,0.016726986,0.016726986,0.017913978,0.017913978,0.009060274,0.009060274,0.020442885,0.020442885,106.5102461,133.1478558,5.09002319,0.018,0.0298,0.0062,81.3603099,100.0914498,5.245495992,0.0315,0.0486,0.0144,88.6257472,42.17140157,5.361432079,0.0234,0.0366,0.0102,103.112931,128.7264266,5.170400468,0.0555,0.098,0.013,72.43134025,80.10198754,5.258368105,0.0292,0.0488,0.0096,0.85,0.815,0.71,0.855,0.79,0.855
ibmq_belem,2021-09-13 00:35:34-04:00,0.000211141,0.000500811,0.000235615,0.001108461,0.000238475,0.000211141,0.000500811,0.000235615,0.001108461,0.000238475,0.000211141,0.000500811,0.000235615,0.001108461,0.000238475,0.034167018,0.034167018,0.011110977,0.011110977,0.007164771,0.007164771,0.020788657,0.020788657,85.28980607,118.6114688,5.090025325,0.0173,0.0274,0.0072,91.94871488,92.10580479,5.24550009,0.0239,0.038,0.0098,83.30522047,42.68386412,5.361422764,0.0236,0.0384,0.0088,7.743857148,9.668156719,5.170395656,0.0344,0.059,0.0098,81.51946563,109.1163112,5.25837377,0.0212,0.0318,0.0106,0.72,0.675,0.705,0.805,0.79,0.805
ibmq_belem,2021-09-14 00:39:25-04:00,0.000211798,0.000318643,0.000236319,0.000542532,0.000364447,0.000211798,0.000318643,0.000236319,0.000542532,0.000364447,0.000211798,0.000318643,0.000236319,0.000542532,0.000364447,0.013130869,0.013130869,0.01293554,0.01293554,0.006507934,0.006507934,0.019965875,0.019965875,115.9529769,143.8485527,5.090022582,0.0184,0.031,0.0058,94.59183407,97.51794572,5.245496335,0.0239,0.0412,0.0066,64.94958551,45.45785013,5.361420462,0.0202,0.0288,0.0116,66.09338419,9.668156719,5.170385359,0.039,0.0656,0.0124,73.84982713,82.78974633,5.258373466,0.0472,0.059,0.0354,0.78,0.75,0.725,0.745,0.785,0.785
